source	country	t_key	old_icon	new_canonical	confidence	why
123abfallkalender_de		Altpapier	Icons.PAPER	PAPER	high	already Icons reference
123abfallkalender_de		Biomüll	Icons.BIO_KITCHEN	BIO_KITCHEN	high	already Icons reference
123abfallkalender_de		EBS Sondermüll	Icons.HAZARDOUS	HAZARDOUS	high	already Icons reference
123abfallkalender_de		Gelbe Tonne	Icons.PLASTIC_PACKAGING	PLASTIC_PACKAGING	high	already Icons reference
123abfallkalender_de		MR Sondermüll	Icons.HAZARDOUS	HAZARDOUS	high	already Icons reference
123abfallkalender_de		Praxis GmbH	Icons.HAZARDOUS	HAZARDOUS	high	already Icons reference
123abfallkalender_de		Restmüll	Icons.GENERAL_WASTE	GENERAL_WASTE	high	already Icons reference
1coast_com_au		140L Red Lid General Waste Bin	Icons.GENERAL_WASTE	GENERAL_WASTE	high	already Icons reference
1coast_com_au		240L Green Lid Garden Vegetation Bin	Icons.GARDEN	GARDEN	high	already Icons reference
1coast_com_au		240L Yellow Lid Recycle Bin	Icons.RECYCLING	RECYCLING	high	already Icons reference
1coast_com_au		Bio	Icons.ORGANIC	ORGANIC	high	already Icons reference
1coast_com_au		Glass	Icons.GLASS	GLASS	high	already Icons reference
1coast_com_au		Paper	Icons.PAPER	PAPER	high	already Icons reference
1coast_com_au		Recycle	Icons.RECYCLING	RECYCLING	high	already Icons reference
1coast_com_au		Trash	Icons.GENERAL_WASTE	GENERAL_WASTE	high	already Icons reference
aberdeenshire_gov_uk		Mixed recycling and food waste	Icons.BIO_KITCHEN	BIO_KITCHEN	high	already Icons reference
aberdeenshire_gov_uk		Refuse and food waste	Icons.BIO_KITCHEN	BIO_KITCHEN	high	already Icons reference
abfall_havelland_de		bio-tonne	Icons.ORGANIC	ORGANIC	high	already Icons reference
abfall_havelland_de		gelbe	Icons.RECYCLING	RECYCLING	high	already Icons reference
abfall_havelland_de		mülltonne	Icons.GENERAL_WASTE	GENERAL_WASTE	high	already Icons reference
abfall_havelland_de		papier	Icons.PAPER	PAPER	high	already Icons reference
abfall_lro_de		Blaue	Icons.PAPER	PAPER	high	already Icons reference
abfall_lro_de		Gelbe	Icons.RECYCLING	RECYCLING	high	already Icons reference
abfall_lro_de		Grüne	Icons.ORGANIC	ORGANIC	high	already Icons reference
abfall_lro_de		Schwarze	Icons.GENERAL_WASTE	GENERAL_WASTE	high	already Icons reference
abfall_neunkirchen_siegerland_de		Astschnittsammlung	Icons.GARDEN	GARDEN	high	already Icons reference
abfall_neunkirchen_siegerland_de		Biotonne	Icons.BIO_KITCHEN	BIO_KITCHEN	high	already Icons reference
abfall_neunkirchen_siegerland_de		Container Restmüll	Icons.GENERAL_WASTE	GENERAL_WASTE	high	already Icons reference
abfall_neunkirchen_siegerland_de		Gelbe Tonne	Icons.PLASTIC_PACKAGING	PLASTIC_PACKAGING	high	already Icons reference
